agency_short	awarding_agency	award_value	agency_mission	agency_web
VA	DEPARTMENT OF VETERANS AFFAIRS	19.00	"To fulfill President Lincoln's promise ""To care for him who shall have borne the battle, and for his widow, and his orphan"" by serving and honoring the men and women who are America's veterans."	http://www.va.gov
HHS	DEPARTMENT OF HEALTH AND HUMAN SERVICES	16.00		
DHS	DEPARTMENT OF HOMELAND SECURITY	14.00	"To fulfill President Lincoln's promise ""To care for him who shall have borne the battle, and for his widow, and his orphan"" by serving and honoring the men and women who are America's veterans."	http://www.va.gov
GSA	GENERAL SERVICES ADMINISTRATION	10.00		
DOS	DEPARTMENT OF STATE	8.00		
DOJ	DEPARTMENT OF JUSTICE	8.00	"To fulfill President Lincoln's promise ""To care for him who shall have borne the battle, and for his widow, and his orphan"" by serving and honoring the men and women who are America's veterans."	http://www.va.gov
USDA	DEPARTMENT OF AGRICULTURE	6.00		
NASA	NATIONAL AERONAUTICS AND SPACE ADMINISTRATION	6.00		
DOT	DEPARTMENT OF TRANSPORTATION	6.00	"To fulfill President Lincoln's promise ""To care for him who shall have borne the battle, and for his widow, and his orphan"" by serving and honoring the men and women who are America's veterans."	http://www.va.gov
DOE	DEPARTMENT OF ENERGY	6.00		
TREAS	DEPARTMENT OF THE TREASURY	6.00		
DOI	DEPARTMENT OF THE INTERIOR	4.00		
USAID	AGENCY FOR INTERNATIONAL DEVELOPMENT	3.00		
DOC	DEPARTMENT OF COMMERCE	3.00		
DOL	DEPARTMENT OF LABOR	3.00		
OTHER	OTHER SMALLER AGENCIES	9.00		
